field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
7,Гуманитарные науки,Брянская область,2019,376,215,22,0,1.77,NA
8,Искусство и культура,Брянская область,2019,384,190,59,0,1.7,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2020,5784,79,1101,0,191.37,NA
3,Здравоохранение и медицинские науки,Брянская область,2020,1583,138,1623,0,271.64,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2020,901,1,63,0,56,NA
5,Науки об обществе,Брянская область,2020,1974,111,897,0,122.75,NA
6,Образование и педагогические науки,Брянская область,2020,1106,579,306,0,2.26,NA
7,Гуманитарные науки,Брянская область,2020,486,252,59,0,6.54,NA
8,Искусство и культура,Брянская область,2020,387,175,66,0,1.81,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2021,5076,50,920,0,168.07,NA
3,Здравоохранение и медицинские науки,Брянская область,2021,1090,135,1597,0,81.37,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2021,1027,3,50,0,296.57,NA
5,Науки об обществе,Брянская область,2021,1968,83,1287,0,131.06,NA
6,Образование и педагогические науки,Брянская область,2021,833,495,170,0,2.15,NA
7,Гуманитарные науки,Брянская область,2021,366,261,47,0,2.21,NA
8,Искусство и культура,Брянская область,2021,443,160,49,0,2.52,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2022,5834,90,972,0,103.4,NA
3,Здравоохранение и медицинские науки,Брянская область,2022,933,130,1712,0,111.45,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2022,1110,5,48,0,106.9,NA
5,Науки об обществе,Брянская область,2022,2457,112,1114,0,99.35,NA
6,Образование и педагогические науки,Брянская область,2022,986,497,184,0,2.41,NA
7,Гуманитарные науки,Брянская область,2022,422,301,90,0,1.59,NA
8,Искусство и культура,Брянская область,2022,543,170,107,0,5.23,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2023,7253,69,1278,0,122.41,NA
3,Здравоохранение и медицинские науки,Брянская область,2023,1531,128,1331,0,221.63,NA
