field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
1,Математические и естественные науки,Белгородская область,2020,1179,159,306,23,9.16,12.57
2,"Инженерное дело, технологии и технические науки",Белгородская область,2020,7837,1861,3159,1343,5.73,3.61
3,Здравоохранение и медицинские науки,Белгородская область,2020,2915,330,2352,657,15.93,7.08
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2020,1098,441,372,212,2.79,1.89
5,Науки об обществе,Белгородская область,2020,3706,262,7066,2823,26.74,4.18
6,Образование и педагогические науки,Белгородская область,2020,2352,464,1616,522,5.64,4.25
7,Гуманитарные науки,Белгородская область,2020,978,113,761,241,15.22,4.16
8,Искусство и культура,Белгородская область,2020,921,214,490,191,8.19,3.1
1,Математические и естественные науки,Белгородская область,2021,956,207,272,25,5.2,26.73
2,"Инженерное дело, технологии и технические науки",Белгородская область,2021,9627,2515,3144,1459,4.95,5.19
3,Здравоохранение и медицинские науки,Белгородская область,2021,2777,370,2640,998,12.7,5.67
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2021,1367,495,396,168,3.02,3.04
5,Науки об обществе,Белгородская область,2021,4695,373,6511,2626,21.33,4.17
6,Образование и педагогические науки,Белгородская область,2021,3148,502,2334,720,6.7,5.34
7,Гуманитарные науки,Белгородская область,2021,1475,220,857,171,17.3,5.52
8,Искусство и культура,Белгородская область,2021,653,221,482,178,6.21,3.81
1,Математические и естественные науки,Белгородская область,2022,845,127,445,152,7.23,5.91
2,"Инженерное дело, технологии и технические науки",Белгородская область,2022,8306,2172,3684,1554,4.89,4.63
3,Здравоохранение и медицинские науки,Белгородская область,2022,2464,425,2751,667,10.8,7.68
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2022,1296,424,430,242,3.25,3.53
5,Науки об обществе,Белгородская область,2022,3905,375,6180,1923,27.02,5.91
6,Образование и педагогические науки,Белгородская область,2022,3354,647,2418,594,5.7,9.46
7,Гуманитарные науки,Белгородская область,2022,1344,214,928,118,22.12,14.79
8,Искусство и культура,Белгородская область,2022,717,226,442,127,6.23,3.74
1,Математические и естественные науки,Белгородская область,2023,922,270,502,383,3.63,1.34
2,"Инженерное дело, технологии и технические науки",Белгородская область,2023,8894,2332,4003,2361,4.77,3.67
3,Здравоохранение и медицинские науки,Белгородская область,2023,1458,443,1353,561,5.68,4.54
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2023,919,362,334,197,2.72,2.16
5,Науки об обществе,Белгородская область,2023,2997,455,4819,2142,12.5,3.57
6,Образование и педагогические науки,Белгородская область,2023,2473,620,1708,528,4.37,4.42
7,Гуманитарные науки,Белгородская область,2023,1016,278,638,181,5.23,5.26
8,Искусство и культура,Белгородская область,2023,641,211,470,121,6.23,5.27
1,Математические и естественные науки,Брянская область,2016,660,121,40,24,6.94,1.75
2,"Инженерное дело, технологии и технические науки",Брянская область,2016,6608,1467,958,655,5.55,1.56
3,Здравоохранение и медицинские науки,Брянская область,2016,168,84,21,17,2.07,1.24
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2016,925,338,131,83,3.14,1.56
5,Науки об обществе,Брянская область,2016,2562,185,3927,1551,27.92,3.41
